,prior_query,prior_dimensions,edit,edit_type,cdr,adr,cgr,agr,delta_dr,delta_gr,anchored_gain_in_sum_rank,delta_dr_assume,delta_gr_assume,anchored_gain_in_sum_rank_assume,cds,cgs,ads,ags
61,bin(q),1.0,bar <> bar,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,26.0,0.0
62,bin(q),1.0,bar <> line,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,46.0,4.0
63,bin(q),1.0,bar <> area,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,46.0,3.0
64,bin(q),1.0,bar <> tick,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,51.0,2.0
65,bin(q),,bar <> rect,,,,,,,,,,,,,,,
66,bin(q),1.0,+ raw(q),add_field,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,472.0,28.0,472.0
67,bin(q),1.0,+ bin(q),add_field,0.0,,,2.0,,,,-41.0,39.0,-2.0,24.0,1369.0,48.0,457.0
68,bin(q),1.0,+ agg(q),add_field,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,470.0,33.0,470.0
69,bin(q),1.0,+ raw(n),add_field,0.0,11.0,28.0,1.0,-11.0,27.0,16.0,-11.0,27.0,16.0,32.0,924.0,54.0,457.0
70,bin(q),1.0,<- bin(q),bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,26.0,0.0
71,bin(q),,<- agg(q),,,,,,,,,,,,,,,
72,bin(q) x bin(q),2.0,point <> point,mark,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,48.0,0.0
73,bin(q) x bin(q),2.0,point <> bar,mark,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,904.0,58.0,904.0
74,bin(q) x bin(q),2.0,point <> line,mark,0.0,1.0,8.0,1.0,-1.0,7.0,6.0,-1.0,7.0,6.0,54.0,1347.0,78.0,905.0
75,bin(q) x bin(q),2.0,point <> area,mark,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,906.0,78.0,906.0
76,bin(q) x bin(q),2.0,point <> tick,mark,0.0,1.0,8.0,1.0,-1.0,7.0,6.0,-1.0,7.0,6.0,59.0,1345.0,83.0,903.0
77,bin(q) x bin(q),2.0,point <> rect,mark,1.0,,,0.0,,,,-40.0,41.0,1.0,33.0,1342.0,73.0,0.0
78,bin(q) x bin(q),2.0,+ raw(q),add_field,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,464.0,55.0,464.0
79,bin(q) x bin(q),2.0,+ bin(q),add_field,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,457.0,68.0,457.0
80,bin(q) x bin(q),2.0,+ agg(q),add_field,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,464.0,55.0,464.0
81,bin(q) x bin(q),2.0,+ raw(n),add_field,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,457.0,76.0,457.0
82,bin(q) x bin(q),2.0,<- bin(q),bin,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,48.0,0.0
83,bin(q) x bin(q),,<- agg(q),,,,,,,,,,,,,,,
84,bin(q) x agg(q),2.0,bar <> point,mark,0.0,34.0,11.0,0.0,-34.0,11.0,-23.0,-34.0,11.0,-23.0,37.0,902.0,60.0,2.0
85,bin(q) x agg(q),2.0,bar <> bar,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0
86,bin(q) x agg(q),2.0,bar <> line,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,60.0,4.0
87,bin(q) x agg(q),2.0,bar <> area,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,60.0,3.0
88,bin(q) x agg(q),2.0,bar <> tick,mark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,65.0,2.0
89,bin(q) x agg(q),,bar <> rect,,,,,,,,,,,,,,,
90,bin(q) x agg(q),2.0,+ raw(q),add_field,0.0,,,0.0,,,,-41.0,41.0,0.0,31.0,1372.0,61.0,455.0
91,bin(q) x agg(q),2.0,+ bin(q),add_field,0.0,,,1.0,,,,-41.0,40.0,-1.0,31.0,1372.0,62.0,457.0
